date,timepoint,coral_ID,treatment_temp,polyp_count,BW_1,BW_2,BW_3,temp,pH,DO,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,RIE,18,22,2.72,2.72,2.72,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,NCG,18,40,1.27,1.27,1.27,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,RIG,18,33,7.39,7.39,7.39,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,RIF,18,43,5.2,5.2,5.2,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,MAA,18,41,3.66,3.66,3.66,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,RID,18,43,4.27,4.27,4.27,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,MAC,18,63,8.75,8.75,8.75,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,NCB,18,17,0.48,0.48,0.48,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,NCD,18,13,0.39,0.39,0.39,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,RIA,18,34,3.6,3.6,3.6,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,MAG,18,40,4.42,4.42,4.42,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,RIB,18,34,2.66,2.66,2.66,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,MAD,18,13,0.52,0.52,0.52,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,NCF,18,22,0.9,0.9,0.9,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,MAB,18,14,0.94,0.94,0.94,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,NCC,18,20,0.53,0.53,0.53,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,MAE,18,44,3.26,3.26,3.26,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,RIC,18,42,6.07,6.07,6.07,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,MAF,18,28,2.3,2.3,2.3,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,NCA,18,40,2.41,2.41,2.41,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,NCE,18,33,1.34,1.34,1.34,18.01,7.7,67,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,NCX,32,15,0.53,0.53,0.53,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,RIAA,32,32,5.09,5.09,5.09,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,MAZ,32,44,5.79,5.79,5.79,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,RIV,32,21,2.61,2.61,2.61,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,RIY,32,25,3.09,3.09,3.09,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,NCZ,32,20,0.58,0.58,0.58,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,NCY,32,59,2.82,2.82,2.82,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,NCAA,32,20,0.63,0.63,0.63,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,RIX,32,42,3.81,3.81,3.81,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,MAW,32,35,4.85,4.85,4.85,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,NCAB,32,15,0.56,0.56,0.56,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,MAAB,32,14,2.13,2.13,2.13,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,MAY,32,12,1.14,1.14,1.14,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,MAV,32,34,5.17,5.17,5.17,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,NCW,32,32,2.24,2.24,2.24,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,MAAA,32,41,6.94,6.94,6.94,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,RIZ,32,8,1.75,1.75,1.75,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,MAX,32,25,1.56,1.56,1.56,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,NCV,32,19,1.49,1.49,1.49,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,RIW,32,11,1.66,1.66,1.66,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/19/22,mid,RIAB,32,22,4.29,4.29,4.29,19.04,7.71,57.8,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,NCP,28,10,0.39,0.39,0.39,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,NCS,28,15,0.55,0.55,0.55,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,MAR,28,30,3.08,3.08,3.08,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,RIS,28,20,4.08,4.08,4.08,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,NCR,28,8,0.51,0.51,0.51,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,NCU,28,13,0.26,0.26,0.26,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,NCO,28,14,0.32,0.32,0.32,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,MAP,28,19,2.13,2.13,2.13,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,NCQ,28,38,1.93,1.93,1.93,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,MAS,28,21,2.79,2.79,2.79,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,MAQ,28,19,3.73,3.73,3.73,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,NCT,28,12,0.84,0.84,0.84,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,MAO,28,23,2.38,2.38,2.38,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,MAT,28,17,0.63,0.63,0.63,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,RIU ,28,25,5.25,5.25,5.25,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,MAU,28,64,7.07,7.07,7.07,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,RIR,28,40,4.43,4.43,4.43,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,RIQ,28,39,6.69,6.69,6.69,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,RIT,28,32,3.1,3.1,3.1,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,RIP,28,40,2.37,2.37,2.37,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,RIO,28,38,5.54,5.54,5.54,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,NCI,22,31,0.85,0.85,0.85,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,NCJ,22,20,0.69,0.69,0.69,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,MAL,22,17,2.05,2.05,2.05,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,NCH,22,24,1,1,1,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,MAK,22,19,2.57,2.57,2.57,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,RIN,22,13,4.03,4.03,4.03,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,NCK,22,18,1.82,1.82,1.82,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,RIM,22,22,2.5,2.5,2.5,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,MAI,22,11,1.44,1.44,1.44,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,RIK,22,13,0.59,0.59,0.59,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,RIH,22,27,7.16,7.16,7.16,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,NCN,22,24,1.54,1.54,1.54,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,RII,22,44,4.95,4.95,4.95,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,RIJ,22,22,2.98,2.98,2.98,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,MAH,22,8,0.24,0.24,0.24,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,MAN,22,13,1.13,1.13,1.13,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,MAM,22,12,1.29,1.29,1.29,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,NCL,22,30,5,5,5,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,RIL,22,26,3.02,3.02,3.02,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,MAJ,22,37,3.61,3.61,3.61,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
7/22/22,mid,NCM,22,23,1.38,1.38,1.38,21.67,7.77,60.7,,,,,,,,,,,,,,,,,,,,,,,
6/17/22,start,MAX,32,40,1.57,1.57,1.56,21.5,7.99,95.7,,,,,,,,,,,,,,,,,BW_2,BW_3,temp,salinity,pH,DO,photo?
6/17/22,start,RIAA,32,39,5.07,5.07,5.07,21.5,7.99,95.8,,,,,,,,,,,,,,,,,,,,,,,
6/17/22,start,NCV,32,28,1.45,1.43,1.43,21.5,7.99,95.9,,,,,,,,,,,,,,,,,,,,,,,
6/17/22,start,NCX,32,18,0.48,0.48,0.48,21.5,7.99,95.9,,,,,,,,,,,,,,,,,,,,,,,
6/17/22,start,RIV,32,21,2.66,2.66,2.66,21.6,7.99,95.8,,,,,,,,,,,,,,,,,,,,,,,
6/17/22,start,MAV,32,67,5.33,5.33,5.33,21.7,8.04,93.9,,,,,,,,,,,,,,,,,,,,,,,
6/17/22,start,RIZ,32,26,2.74,2.74,2.74,21.7,8.04,93.9,,,,,,,,,,,,,,,,,,,,,,,
6/17/22,start,NCAB,32,15,0.52,0.52,0.52,21.7,8.04,93.9,,,,,,,,,,,,,,,,,,,,,,,
6/17/22,start,MAY,32,23,1.15,1.15,1.15,21.7,8.04,93.9,,,,,,,,,,,,,,,,,,,,,,,
6/17/22,start,NCZ,32,19,0.48,0.48,0.48,21.7,8.04,93.9,,,,,,,,,,,,,,,,,,,,,,,
6/18/22,start,RIAB,32,29,2.21,2.21,2.21,21.1,8.05,85.6,,,,,,,,,,,,,,,,,,,,,,,
6/18/22,start,MAZ,32,34,4.62,4.62,4.62,21.1,8.05,85.6,,,,,,,,,,,,,,,,,,,,,,,
6/18/22,start,RIX,32,33,2.6,2.6,2.6,21.1,8.05,85.6,,,,,,,,,,,,,,,,,,,,,,,
6/18/22,start,MAU,28,58,5.64,5.64,5.64,21.1,8.05,85.6,,,,,,,,,,,,,,,,,,,,,,,
6/18/22,start,RIU,28,31,4.18,4.18,4.18,21.1,8.05,85.6,,,,,,,,,,,,,,,,,,,,,,,
6/19/22,start,MAW,32,33,4.9,4.9,4.9,20.9,8.07,84,,,,,,,,,,,,,,,,,,,,,,,
6/19/22,start,NCY,32,51,2.97,2.97,2.97,20.9,8.07,84,,,,,,,,,,,,,,,,,,,,,,,
6/19/22,start,NCW,32,59,2.15,2.15,2.15,20.9,8.07,84,,,,,,,,,,,,,,,,,,,,,,,
6/19/22,start,RIW,32,24,1.68,1.68,1.68,20.9,8.07,84,,,,,,,,,,,,,,,,,,,,,,,
6/19/22,start,RIY,32,25,3.1,3.1,3.1,20.9,8.07,84,,,,,,,,,,,,,,,,,,,,,,,
6/19/22,start,MAAA,32,61,7.02,7.02,7.02,21,8.09,82.8,,,,,,,,,,,,,,,,,,,,,,,
6/19/22,start,NCAA,32,24,0.58,0.58,0.58,21,8.09,82.8,,,,,,,,,,,,,,,,,,,,,,,
6/19/22,start,MAAB,32,28,2.15,2.15,2.15,21,8.09,82.8,,,,,,,,,,,,,,,,,,,,,,,
6/19/22,start,RIR,28,46,4.39,4.39,4.39,21,8.09,82.8,,,,,,,,,,,,,,,,,,,,,,,
6/19/22,start,MAO,28,29,2.43,2.43,2.43,21,8.09,82.8,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,MAR,28,35,3.11,3.11,3.11,20.8,8.11,82.5,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,NCQ,28,38,1.86,1.86,1.86,20.8,8.11,82.5,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,NCU,28,9,0.23,0.23,0.23,20.8,8.11,82.5,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,MAP,28,21,2.17,2.17,2.17,20.8,8.11,82.5,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,NCR,28,14,0.45,0.45,0.45,20.8,8.11,82.5,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,RIS,28,27,4.06,4.06,4.06,21,8.11,81.5,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,RIT,28,40,3.15,3.15,3.15,21,8.11,81.5,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,RIP,28,40,2.3,2.3,2.3,21,8.11,81.5,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,RIQ,28,56,6.77,6.77,6.77,21,8.11,81.5,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,RIO,28,38,5.48,5.48,5.48,21,8.11,81.5,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,MAQ,28,29,3.76,3.76,3.76,21.1,8.09,81.2,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,NCS,28,12,0.5,0.5,0.5,21.1,8.09,81.2,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,NCO,28,9,0.27,0.27,0.27,21.1,8.09,81.2,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,NCP,28,12,0.39,0.39,0.39,21.1,8.09,81.2,,,,,,,,,,,,,,,,,,,,,,,
6/20/22,start,MAT,28,13,0.61,0.61,0.61,21.1,8.09,81.2,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,NCJ,22,28,0.62,0.62,0.62,21,8.11,81.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,RIN,22,24,4.04,4.04,4.04,21,8.11,81.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,RIM,22,34,2.5,2.5,2.5,21,8.11,81.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,MAK,22,16,3.27,3.27,3.27,21,8.11,81.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,MAI,22,12,1.46,1.46,1.46,21,8.11,81.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,NCT,28,11,0.84,0.84,0.84,21.2,8.11,80.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,MAS,28,27,2.79,2.79,2.79,21.2,8.11,80.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,RIK,22,16,0.54,0.54,0.54,21.2,8.11,80.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,NCL,22,37,5.02,5.02,5.02,21.2,8.11,80.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,MAH,22,7,0.2,0.2,0.2,21.2,8.11,80.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,RIJ,22,30,5.01,5.01,5.01,21.2,8.11,80.3,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,MAM,22,16,1.01,1.01,1.01,21.2,8.11,78.5,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,MAL,22,21,2.07,2.07,2.07,21.2,8.11,78.5,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,NCI,22,24,0.77,0.77,0.77,21.2,8.11,78.5,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,start,RII,22,49,4.92,4.92,4.92,21.2,8.11,78.5,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,MAJ,22,43,3.66,3.66,3.66,21.3,8.11,81.1,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,MAN,22,15,1.13,1.13,1.13,21.3,8.11,81.1,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,start,NCM,22,27,1.37,1.37,1.37,21.3,8.11,81.1,,,,,,,,,,,,,,,,,,,,,,,
