date,sump,temp,do,flow_l1,flow_l2,flow_r1,flow_r2
6/28/22,18,18.1,89.6,21,19,28,54
6/28/22,22,22.6,100.9,32,53,32,43
6/28/22,28,27.2,103.3,17,124,32,74
6/28/22,32,28,108.6,60,79,15,18
7/1/22,18,17.8,93.3,20,19,27,94
7/1/22,22,22.5,101.2,15,68,112,58
7/1/22,28,27.4,109.8,20,16,25,34
7/1/22,32,28.2,114.8,13,24,56,52
7/5/22,18,17.8,89.4,20,26,28,63
7/5/22,22,22.7,94.7,26,13,60,47
7/5/22,28,26.2,102,18,49,31,51
7/5/22,32,31.4,110.7,45,16,42,26
7/10/22,18,18.2,93.5,35,84,12,37
7/10/22,22,23,97.4,19,72,15,63
7/10/22,28,28.1,108.8,28,48,38,72
7/10/22,32,33,114.2,24,94,26,91
7/18/22,18,18.8,107.7,17,71,28,62
7/18/22,22,22.7,108.7,28,62,25,27
7/18/22,28,28.2,104,26,37,36,34
7/18/22,32,31.7,91.3,29,17,47,62
7/25/22,18,18.6,109,31,27,42,32
7/25/22,22,22.1,108.3,17,36,28,51
7/25/22,28,27.9,106,15,43,31,37
7/25/22,32,33,104.5,22,28,40,41
7/28/22,18,17.7,108.6,29,25,52,28
7/28/22,22,22.2,111.6,27,29,27,29
7/28/22,28,25.8,110.6,24,27,23,15
7/28/22,32,30.1,99.5,18,38,21,27
8/1/22,18,18.2,103.7,34,43,23,63
8/1/22,22,22.7,110.1,17,45,31,20
8/1/22,28,27.5,99,15,60,40,22
8/1/22,32,30.8,104.2,29,61,47,26
8/5/22,18,20,108.1,23,65,30,28
8/5/22,22,22.4,107.3,26,52,42,58
8/5/22,28,28.2,111.8,17,72,46,36
8/5/22,32,31.5,102.4,12,29,51,61